game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_runouts,match_played
cricket-t20i-2024-06-14-1438090,2024-06-14,2024,1,T20I,Gibraltar,Czech Republic,7.0,0.0,0.0,5.0,3.0,0.0,,1.0
cricket-t20i-2024-06-14-1438091,2024-06-14,2024,1,T20I,Croatia,Czech Republic,52.0,4.0,0.0,2.0,34.0,0.0,,1.0
cricket-t20i-2024-06-15-1438093,2024-06-15,2024,1,T20I,Czech Republic,Croatia,40.0,0.0,0.0,1.0,20.0,0.0,1.0,1.0
cricket-t20i-2024-06-16-1438095,2024-06-16,2024,1,T20I,Gibraltar,Czech Republic,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
cricket-t20i-2025-05-02-1483063,2025-05-02,2025,1,T20I,Cyprus,Czech Republic,2.0,0.0,0.0,4.0,0.0,0.0,,1.0
cricket-t20i-2025-05-02-1483064,2025-05-02,2025,1,T20I,Cyprus,Czech Republic,9.0,0.0,0.0,8.0,4.0,0.0,,1.0
cricket-t20i-2025-05-03-1483065,2025-05-03,2025,1,T20I,Czech Republic,Cyprus,16.0,0.0,0.0,1.0,3.0,0.0,,1.0
cricket-t20i-2025-05-03-1483066,2025-05-03,2025,1,T20I,Czech Republic,Cyprus,25.0,1.0,0.0,1.0,13.0,0.0,,1.0
cricket-t20i-2025-05-04-1483067,2025-05-04,2025,1,T20I,Czech Republic,Cyprus,2.0,0.0,0.0,2.0,0.0,0.0,,1.0
cricket-t20i-2025-06-13-1487660,2025-06-13,2025,1,T20I,Gibraltar,Czech Republic,5.0,0.0,0.0,5.0,0.0,0.0,,1.0
cricket-t20i-2025-06-13-1487661,2025-06-13,2025,1,T20I,Czech Republic,Austria,3.0,0.0,0.0,5.0,0.0,0.0,,1.0
