game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,39.0,,,12.0,19.0,,4.0,,58.0,,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,50.0,,,17.0,34.0,,12.0,,84.0,,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,70.0,,,18.0,39.0,,12.0,,109.0,19.0,8.0,2.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,67.0,,,18.0,41.0,,18.0,,108.0,27.0,9.0,1.0,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,4.0,4.0,4.0,,1.0,4.0,,4.0,,,,,4.0,4.0
