game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,,1.0,3.0,3.0,,,,3.0,28.0,15.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,,,4.0,3.0,,1.0,,3.0,55.0,24.0
2023-06-10-CHI-IND,2023-06-10,2023,7,,CHI,IND,,,5.0,6.0,,,,6.0,17.0,17.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,1.0,,2.0,1.0,,1.0,,1.0,11.0,7.0
2023-07-09-IND-MIN,2023-07-09,2023,11,,IND,MIN,,1.0,5.0,5.0,,,1.0,5.0,1.0,27.0
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,,,4.0,4.0,,1.0,,4.0,10.0,33.0
2023-07-22-IND-PIT,2023-07-22,2023,13,,IND,PIT,,,1.0,1.0,1.0,,,1.0,13.0,-5.0
