game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,sacks,tackles
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,1.0,1.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,2.0,1.0,1.0,,2.0,,,,,
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,2.0,1.0,1.0,,2.0,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,11.0,1.0,1.0,10.0,11.0,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,8.0,2.0,3.0,11.0,11.0,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,5.0,1.0,1.0,5.0,5.0,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,1.0,1.0,,,,1.0,,,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2022_6_18_CGY@HAM,2022-06-18,2022,1,CFL,CGY,HAM,,,,,,1.0,,,1.0,3.0,3.0,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,,,,,,2.0
9889320,2023-08-12,2023,10,CFL,CGY,BC,,,0.0,,,,,,,,,0.0,0.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,0.0,,,,,,,,,0.0,0.0
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,0.0,,,,,,,,,0.0,0.0
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,0.0,,,,,,,,,0.0,0.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,0.0,,,,,,,,,0.0,0.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,0.0,,,,,,,,,0.0,0.0
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,0.0,,,,,,,,,0.0,0.0
