game_id,date,season,week,league,away,home,def_tackles,gp,punt_no,punt_yds,recv_rec,recv_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,1.0,39.0,3.0,55.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,,,1.0,2.0
