game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,games_played,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles,total_yards,yards_per_game
FOOTBALL_NAL_2021_jersey-flight_SEASON_TOTAL,2021-12-31,,0,,,JERSEY FLIGHT,,,,,,,,8.0,83.0,0.0,0.0,20.0,13.8,0.0,0.0,3.0,8.3,23.0,,1.0,225.0,28.1,27.0,3.4,,,,,,1.0,,,,308.0,38.5
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,,,,,,,,,,,,,,,,8.0,11.0,0.0,0.0,55.0,,7.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,,,,,,,,,,,,,,,,,34.0,0.0,0.0,0.0,34.0,,1.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,,,,,,,,,,,,,,,,,13.0,33.0,0.0,0.0,67.0,,5.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,24.0,40.0,0.0,1.0,47.0,,2.0,,,,,,,,0.0,0.0,0.0,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,,,,,,,,,,,,,,,,8.0,9.0,0.0,0.0,15.0,,2.0,,4.0,4.0,1.0,0.0,0.0,4.0,,,,,
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,7.0,12.0,0.0,1.0,13.0,,2.0,,,,,,,,0.0,0.0,3.0,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,10.0,10.0,0.0,10.0,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,,
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,,
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,19.0,19.0,0.0,19.0,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,,
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,
