game_id,date,season,week,league,away,home,attempts,avg,long,yards
FOOTBALL_XLEAGUE_2023_SEASON_TOTAL,,2023,1,XLEAGUE,,,15.0,9.93,23.0,149.0
FOOTBALL_XLEAGUE_2024_SEASON_TOTAL,,2024,1,XLEAGUE,,,11.0,10.91,27.0,120.0
FOOTBALL_XLEAGUE_2025_SEASON_TOTAL,,2025,1,XLEAGUE,,,13.0,12.23,42.0,159.0
