game_id,date,season,week,league,away,home,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,gp,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,recv_rec,recv_td,recv_yds,targets
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,,,,,,,,,,0.0,28.0,2.0,,,,4.0
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,,,,,,,2.0,,,,0.0,56.0,5.0,,,,6.0
FOOTBALL_AAF_2019_2_23_MEM@ORL,2019-02-23,2019,3,AAF,MEM,ORL,0.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,11.0,1.0,,,,5.0
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,,,,,,,,,,,0.0,63.0,4.0,,,,4.0
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,,,,,,,1.0,,,,0.0,29.0,1.0,,,,4.0
FOOTBALL_AAF_2019_3_16_MEM@SL,2019-03-16,2019,6,AAF,MEM,SL,,,,,,,,,,,0.0,129.0,8.0,,,,10.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,,,,,0.0,,,,1.0,113.0,7.0,,,,9.0
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,,,,,3.0,,,,,42.0,3.0,,,,3.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,,,,,,,,51.0,5.0,,,,3.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,,,,,,,,,,,,34.0,5.0,,,,1.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,,,,,,,,4.0,4.0,1.0,,23.0,5.0,,,,1.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,,,,,,,,,,,1.0,90.0,9.0,,,,4.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,,,,8.0,,,,,,,,39.0,11.0,683.0,
