game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_tds,int_avg,int_long,int_yards,interceptions,pass_attempts,pass_completions,pass_defended,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,,667.0,,,,,,1.0,18.0,12.0,,6.0,32.0,11.0,102.0,1.0,2.0,111.0,131.0,6.0,,,,,,4.0,14.0,7.0,1.0,3.0,27.0,,,,
FOOTBALL_NAL_2026_4_25_T600414G1127162@T600411,2026-04-25,2026,8,NAL,Southwest Kansas Storm,Salina Liberty,,667.0,,,,,,1.0,21.0,14.0,,7.0,35.0,10.0,98.0,1.0,2.0,95.0,143.0,6.0,,,,,,2.0,4.0,3.0,0.0,0.0,7.0,,,,
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,,846.0,,,,,,0.0,13.0,11.0,,2.0,29.0,13.0,137.0,0.0,1.0,77.0,139.0,0.0,,,,,,3.0,7.0,6.0,0.0,1.0,17.0,,,,
FOOTBALL_NAL_2026_5_9_T600411G1127167@T600414,2026-05-09,2026,10,NAL,Salina Liberty,Southwest Kansas Storm,,667.0,,,,,,1.0,27.0,18.0,,9.0,31.0,10.0,109.0,0.0,4.0,148.0,174.0,0.0,,,,,,7.0,19.0,5.0,0.0,1.0,35.0,,,,
FOOTBALL_IFL_2026_5_23_TTULSAOILERSG20260523IVJK@TSANANTONIOGUNSLINGERS,2026-05-23,2026,11,IFL,Tulsa Oilers,San Antonio Gunslingers,4.0,,1.0,0.0,5.0,5.0,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,
FOOTBALL_IFL_2026_6_6_TTULSAOILERSG20260606EDGN@TFISHERSFREIGHT,2026-06-06,2026,13,IFL,Tulsa Oilers,Fishers Freight,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,,
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,
FOOTBALL_IFL_2026_6_20_TSANANTONIOGUNSLINGERSG20260620VJ0P@TTULSAOILERS,2026-06-20,2026,15,IFL,San Antonio Gunslingers,Tulsa Oilers,0.0,,1.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,3.0,,,,,,,,,,3.0,,,,,,,,,,3.0,3.0,0.0,3.0,1.0,,,,,,,1.0,4.0,1.0,0.0
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,
FOOTBALL_IFL_2026_7_18_TQUADCITYSTEAMWHEELERSG20260718WOHW@TTULSAOILERS,2026-07-18,2026,19,IFL,Quad City Steamwheelers,Tulsa Oilers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,,
FOOTBALL_IFL_2026_7_25_TTULSAOILERSG20260725MK7L@TQUADCITYSTEAMWHEELERS,2026-07-25,2026,20,IFL,Tulsa Oilers,Quad City Steamwheelers,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,0.0
