game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,6.0,161.0,,17.0,187.0,62.0,14.0,1183.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,4.0,,,,7.0,84.0,25.0,4.0,487.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,,,1.0,,,71.0,9.0,953.0,4.0,18.0
