game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,3.0,4.0,99.0,3.0,1.0,28.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,,,2.0,1.0,71.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,8.0,,,4.0,1.0,83.0
