game_id,date,season,week,league,away,home,match_loss,match_played,match_win,team_points_against,team_points_for
curling-wcf-world-2026-827-1-3,2026-02-04,2026,1,WCF-WORLD,Estonia,Switzerland,1.0,1.0,0.0,9.0,7.0
curling-wcf-world-2026-827-10-2,2026-02-08,2026,1,WCF-WORLD,Estonia,Korea,1.0,1.0,0.0,9.0,3.0
curling-wcf-world-2026-827-11-2,2026-02-08,2026,1,WCF-WORLD,United States of America,Estonia,1.0,1.0,0.0,5.0,3.0
curling-wcf-world-2026-827-13-1,2026-02-09,2026,1,WCF-WORLD,Czechia,Estonia,1.0,1.0,0.0,8.0,4.0
curling-wcf-world-2026-827-4-1,2026-02-05,2026,1,WCF-WORLD,Estonia,Sweden,0.0,1.0,1.0,5.0,7.0
curling-wcf-world-2026-827-8-1,2026-02-07,2026,1,WCF-WORLD,Estonia,Norway,1.0,1.0,0.0,6.0,5.0
curling-wcf-world-2026-827-9-1,2026-02-07,2026,1,WCF-WORLD,Canada,Estonia,0.0,1.0,1.0,6.0,8.0
curling-wcf-world-2026-836-11-1,2026-04-28,2026,1,WCF-WORLD,China,Estonia,1.0,1.0,0.0,6.0,5.0
curling-wcf-world-2026-836-13-3,2026-04-29,2026,1,WCF-WORLD,France,Estonia,0.0,1.0,1.0,4.0,8.0
curling-wcf-world-2026-836-5-2,2026-04-26,2026,1,WCF-WORLD,Estonia,New Zealand,0.0,1.0,1.0,4.0,8.0
curling-wcf-world-2026-836-7-3,2026-04-27,2026,1,WCF-WORLD,Estonia,Norway,0.0,1.0,1.0,6.0,7.0
curling-wcf-world-2026-836-9-2,2026-04-27,2026,1,WCF-WORLD,Australia,Estonia,1.0,1.0,0.0,8.0,6.0
