game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,1.0,22.0,7.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,1.0,1.5,39.0,11.0
