game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_W4_HAM,,,4,CFL,,,,,0.0,2.0,1.0,0.0,40.0
SYNTHETIC_CFL_W15_HAM,,,15,CFL,,,,,0.0,15.0,3.0,0.0,58.0
SYNTHETIC_CFL_W16_HAM,,,16,CFL,,,,,0.0,19.0,2.0,1.0,61.0
SYNTHETIC_CFL_W18_HAM,,,18,CFL,,,,,0.0,26.0,1.0,0.0,132.0
SYNTHETIC_CFL_W19_HAM,,,19,CFL,,,,,0.0,17.0,1.0,0.0,52.0
SYNTHETIC_USFL_2023_W2_BREAKERS,,2023,2,USFL,,,,,0.0,17.0,3.0,3.0,110.0
SYNTHETIC_USFL_2023_W3_BREAKERS,,2023,3,USFL,,,,,0.0,16.0,3.0,3.0,191.0
SYNTHETIC_USFL_2023_W4_BREAKERS,,2023,4,USFL,,,,,0.0,71.0,7.0,2.0,88.0
SYNTHETIC_USFL_2023_W5_BREAKERS,,2023,5,USFL,,,,,0.0,46.0,7.0,0.0,38.0
SYNTHETIC_USFL_2023_W6_BREAKERS,,2023,6,USFL,,,,,0.0,30.0,5.0,0.0,74.0
SYNTHETIC_USFL_2023_W7_BREAKERS,,2023,7,USFL,,,,1.0,0.0,11.0,3.0,0.0,77.0
SYNTHETIC_USFL_2023_W8_BREAKERS,,2023,8,USFL,,,,1.0,0.0,37.0,4.0,1.0,36.0
SYNTHETIC_USFL_2023_W9_BREAKERS,,2023,9,USFL,,,,,0.0,10.0,1.0,1.0,46.0
SYNTHETIC_USFL_2023_W10_BREAKERS,,2023,10,USFL,,,,,0.0,40.0,5.0,0.0,20.0
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,6.0,1.0,,30.0
SYNTHETIC_UFL_2024_W1_PANTHERS,,2024,1,UFL,,,,,0.0,-1.0,1.0,0.0,85.0
SYNTHETIC_UFL_2024_W2_PANTHERS,,2024,2,UFL,,,,,0.0,19.0,4.0,0.0,10.0
SYNTHETIC_UFL_2024_W3_PANTHERS,,2024,3,UFL,,,,,0.0,5.0,2.0,0.0,23.0
SYNTHETIC_UFL_2024_W4_PANTHERS,,2024,4,UFL,,,,,0.0,9.0,1.0,0.0,25.0
SYNTHETIC_UFL_2024_W5_PANTHERS,,2024,5,UFL,,,,,,,,3.0,82.0
SYNTHETIC_UFL_2024_W6_PANTHERS,,2024,6,UFL,,,1.0,,0.0,14.0,2.0,1.0,15.0
SYNTHETIC_UFL_2024_W7_PANTHERS,,2024,7,UFL,,,,,0.0,13.0,2.0,1.0,37.0
