game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,4.0,10.0,14.0,3.0,219.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,12.0,27.0,2.0,348.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,10.0,17.0,5.0,242.0,1.0,7.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,12.0,28.0,4.0,322.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,11.0,18.0,5.0,192.0,1.0,
