game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,17.0,9.0,81.0,40.0,17.0,1.0,158.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,14.0,16.0,149.0,41.0,14.0,,134.0
