game_id,date,season,week,league,away,home,completions,interceptions_lost,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_yards
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,16.0,,26.0,2.0,235.0,8.0,28.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,23.0,1.0,37.0,2.0,264.0,1.0,14.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,13.0,4.0,26.0,,103.0,6.0,19.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,9.0,1.0,22.0,,72.0,,
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,1.0,2.0,,,1.0,
