game_id,date,season,week,league,away,home,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,4.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0
