game_id,date,season,week,league,away,home,assists,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,3.0,,1.0,,3.0,4.0,1.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,,10.0,,1.0,-2.0,4.0,2.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,,15.0,,4.0,-2.0,5.0,2.0
