game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,1.0,1.0,,,,,18.0,7.0,9.0,,3.0,61.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,,,,,26.0,3.0,3.0,,12.0,45.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,,,,,,,,3.0,4.0,1.0,3.0,29.0,,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_11_17_EDM@HAM,2019-11-17,2019,1,CFL,EDM,HAM,,,,,,,26.0,3.0,4.0,,14.0,45.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,1.0,1.0,,,,,35.0,5.0,7.0,,33.0,88.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,,,,,,,7.0,1.0,3.0,,7.0,7.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_22_HAM@TOR,2019-06-22,2019,1,CFL,HAM,TOR,,,,,,,24.0,5.0,5.0,,32.0,59.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,,,,,,,17.0,1.0,1.0,,2.0,17.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,,10.0,2.0,2.0,,6.0,13.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_26_WPG@HAM,2019-07-26,2019,1,CFL,WPG,HAM,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_4_HAM@MTL,2019-07-04,2019,1,CFL,HAM,MTL,,,,,,,26.0,8.0,10.0,1.0,32.0,120.0,,,,,,,,,,,1.0,6.0,1.0,
