game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202105150SEA,2021-05-15,2021,1,WNBA,LVA,SEA,6.0,,3.0,0.333,6.0,2.0,0.563,16.0,9.0,1.0,1.0,2.0,2.0,,35.166666666666664,1.0,14.0,22.0,4.0,1.0,
WNBA_202105180SEA,2021-05-18,2021,1,WNBA,LVA,SEA,3.0,1.0,2.0,0.2,5.0,1.0,0.333,18.0,6.0,,0.667,6.0,4.0,,34.266666666666666,,-11.0,17.0,2.0,3.0,
WNBA_202105200MIN,2021-05-20,2021,1,WNBA,SEA,MIN,4.0,1.0,5.0,0.625,8.0,5.0,0.571,14.0,8.0,1.0,1.0,2.0,2.0,,33.61666666666667,,4.0,23.0,5.0,3.0,5.0
WNBA_202105220DAL,2021-05-22,2021,1,WNBA,SEA,DAL,6.0,,6.0,0.3,10.0,3.0,0.455,22.0,10.0,3.0,1.0,2.0,2.0,,41.53333333333333,2.0,6.0,25.0,8.0,2.0,1.0
WNBA_202105250SEA,2021-05-25,2021,1,WNBA,CON,SEA,5.0,1.0,8.0,0.4,5.0,2.0,0.462,13.0,6.0,4.0,0.833,6.0,5.0,,34.766666666666666,,22.0,19.0,8.0,3.0,1.0
WNBA_202105280SEA,2021-05-28,2021,1,WNBA,MIN,SEA,5.0,,2.0,0.333,3.0,1.0,0.417,12.0,5.0,2.0,1.0,1.0,1.0,,24.133333333333333,,18.0,12.0,2.0,,3.0
WNBA_202106010SEA,2021-06-01,2021,1,WNBA,IND,SEA,5.0,1.0,2.0,0.571,7.0,4.0,0.333,15.0,5.0,2.0,0.8,5.0,4.0,,33.8,,11.0,18.0,2.0,,4.0
WNBA_202106040SEA,2021-06-04,2021,1,WNBA,DAL,SEA,7.0,1.0,1.0,0.667,6.0,4.0,0.727,11.0,8.0,2.0,1.0,5.0,5.0,,36.43333333333333,1.0,4.0,25.0,2.0,1.0,7.0
WNBA_202106060SEA,2021-06-06,2021,1,WNBA,DAL,SEA,2.0,,6.0,0.333,6.0,2.0,0.438,16.0,7.0,1.0,0.9,10.0,9.0,,31.55,,2.0,25.0,6.0,1.0,
WNBA_202106090ATL,2021-06-09,2021,1,WNBA,SEA,ATL,4.0,,3.0,0.25,4.0,1.0,0.583,12.0,7.0,1.0,0.75,4.0,3.0,,25.25,,7.0,18.0,3.0,2.0,3.0
WNBA_202106110ATL,2021-06-11,2021,1,WNBA,SEA,ATL,2.0,,3.0,0.4,5.0,2.0,0.571,14.0,8.0,2.0,1.0,2.0,2.0,,32.166666666666664,1.0,16.0,20.0,4.0,,2.0
WNBA_202106130CON,2021-06-13,2021,1,WNBA,SEA,CON,1.0,,1.0,0.2,5.0,1.0,0.333,9.0,3.0,1.0,,,,,26.066666666666666,,12.0,7.0,1.0,1.0,1.0
WNBA_202106150IND,2021-06-15,2021,1,WNBA,SEA,IND,4.0,,5.0,0.333,6.0,2.0,0.357,14.0,5.0,2.0,0.857,7.0,6.0,,27.9,1.0,15.0,18.0,6.0,,3.0
WNBA_202106170IND,2021-06-17,2021,1,WNBA,SEA,IND,4.0,,4.0,,4.0,,0.438,16.0,7.0,2.0,0.5,2.0,1.0,,30.383333333333333,1.0,20.0,15.0,5.0,1.0,2.0
WNBA_202106220SEA,2021-06-22,2021,1,WNBA,WAS,SEA,9.0,,3.0,0.556,9.0,5.0,0.444,18.0,8.0,1.0,1.0,2.0,2.0,,33.25,,-6.0,23.0,3.0,1.0,
WNBA_202106270LVA,2021-06-27,2021,1,WNBA,SEA,LVA,5.0,,4.0,0.25,4.0,1.0,0.294,17.0,5.0,4.0,,,,,31.833333333333332,,-7.0,11.0,4.0,1.0,4.0
WNBA_202107020SEA,2021-07-02,2021,1,WNBA,ATL,SEA,2.0,,4.0,,,,0.75,4.0,3.0,2.0,1.0,4.0,4.0,,23.75,1.0,-7.0,10.0,5.0,1.0,3.0
WNBA_202107070SEA,2021-07-07,2021,1,WNBA,LAS,SEA,2.0,,4.0,,4.0,,0.385,13.0,5.0,3.0,1.0,8.0,8.0,,30.866666666666667,2.0,6.0,18.0,6.0,,3.0
