game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_W1_SSK,,,1,CFL,,,2.0,3.0,305.0,,
SYNTHETIC_CFL_W2_SSK,,,2,CFL,,,0.0,1.0,158.0,,
SYNTHETIC_CFL_W3_SSK,,,3,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W4_SSK,,,4,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W5_SSK,,,5,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W6_SSK,,,6,CFL,,,0.0,2.0,231.0,,
SYNTHETIC_CFL_W7_SSK,,,7,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W8_SSK,,,8,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W9_SSK,,,9,CFL,,,0.0,1.0,296.0,,
SYNTHETIC_CFL_W10_SSK,,,10,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W11_SSK,,,11,CFL,,,0.0,3.0,239.0,,
SYNTHETIC_CFL_W12_SSK,,,12,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W13_SSK,,,13,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W14_SSK,,,14,CFL,,,0.0,0.0,139.0,,
SYNTHETIC_CFL_W15_SSK,,,15,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W16_SSK,,,16,CFL,,,2.0,2.0,279.0,,
SYNTHETIC_CFL_W17_SSK,,,17,CFL,,,2.0,0.0,409.0,,
SYNTHETIC_CFL_W18_SSK,,,18,CFL,,,1.0,0.0,179.0,,
SYNTHETIC_CFL_W19_SSK,,,19,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_W20_SSK,,,20,CFL,,,2.0,2.0,429.0,,
SYNTHETIC_CFL_W21_SSK,,,21,CFL,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W5_SSK,,2023,5,CFL,,,1.0,1.0,292.0,,13.0
SYNTHETIC_CFL_2023_W6_SSK,,2023,6,CFL,,,,2.0,231.0,,69.0
SYNTHETIC_CFL_2023_W7_SSK,,2023,7,CFL,,,2.0,,284.0,,
SYNTHETIC_CFL_2023_W8_SSK,,2023,8,CFL,,,2.0,1.0,402.0,,5.0
SYNTHETIC_CFL_2023_W9_SSK,,2023,9,CFL,,,,1.0,296.0,,17.0
SYNTHETIC_CFL_2023_W10_SSK,,2023,10,CFL,,,1.0,,127.0,1.0,18.0
SYNTHETIC_CFL_2023_W11_SSK,,2023,11,CFL,,,,3.0,239.0,,27.0
SYNTHETIC_CFL_2023_W13_SSK,,2023,13,CFL,,,,,326.0,2.0,24.0
SYNTHETIC_CFL_2023_W14_SSK,,2023,14,CFL,,,,,139.0,,5.0
SYNTHETIC_CFL_2023_W15_SSK,,2023,15,CFL,,,1.0,3.0,259.0,,1.0
SYNTHETIC_CFL_2023_W16_SSK,,2023,16,CFL,,,2.0,3.0,297.0,1.0,13.0
SYNTHETIC_CFL_2023_W17_SSK,,2023,17,CFL,,,2.0,1.0,409.0,,4.0
SYNTHETIC_CFL_2023_W18_SSK,,2023,18,CFL,,,1.0,,179.0,,2.0
SYNTHETIC_CFL_2023_W19_SSK,,2023,19,CFL,,,1.0,,272.0,,22.0
SYNTHETIC_CFL_2023_W20_SSK,,2023,20,CFL,,,1.0,2.0,429.0,,1.0
SYNTHETIC_CFL_2024_W1_SSK,,2024,1,CFL,,,2.0,3.0,305.0,,
SYNTHETIC_CFL_2024_W2_SSK,,2024,2,CFL,,,0.0,2.0,390.0,1.0,1.0
SYNTHETIC_CFL_2024_W3_SSK,,2024,3,CFL,,,1.0,2.0,218.0,1.0,3.0
SYNTHETIC_CFL_2024_W4_SSK,,2024,4,CFL,,,0.0,0.0,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W5_SSK,,2024,5,CFL,,,0.0,1.0,192.0,1.0,18.0
SYNTHETIC_CFL_2024_W6_SSK,,2024,6,CFL,,,1.0,0.0,278.0,0.0,14.0
