game_id,date,season,week,league,away,home,completion_pct,interceptions,interceptions_lost,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
SALINA-CORPUS,,,1,,,,,,,,,,,,,,,,1.0,106.0,,,,,,,,18.0
TRITONS-LIBERTY-0328,2025-03-28,2025,3,AF1,SALINA,CORPUS CHRISTI,,2.0,,,,,,,,,,,2.0,142.0,,,,,,,,4.0
ALBANY-SALINA-0406,2025-04-06,2025,4,AF1,ALBANY,SALINA,,3.0,3.0,,,,,,,,,,4.0,380.0,,,,,,,0.0,52.0
SWKANSAS-OREGON-0412,2025-04-12,2025,5,AF1,SW KANSAS,SALINA,,0.0,,,,,,,,,,,2.0,114.0,,,,,,,,
BILLINGS-SALINA-0524,2025-05-24,2025,11,AF1,SALINA,BILLINGS,,1.0,,,,,,,,,,,0.0,43.0,,,,,,,0.0,-1.0
WASHINGTON-SALINA-0531,2025-05-31,2025,12,AF1,SALINA,WASHINGTON,,,,,,,,,,,,,,,,,,,,,1.0,3.0
SALINA-KANSAS-0607,2025-06-07,2025,13,AF1,SW KANSAS,SALINA,,1.0,,,,,,,,,,,7.0,319.0,,,,,,,0.0,18.0
SWKANSAS-SALINA-0615,2025-06-15,2025,14,AF1,SALINA,SW KANSAS,,0.0,,,,,,,,,,,2.0,119.0,,,,,,,1.0,5.0
SALINA-ALBANY-0621,2025-06-21,2025,15,AF1,ALBANY,SALINA,,2.0,,,,,,,,,,,4.0,322.0,,,,,,,2.0,44.0
FOOTBALL_UFL_2026_4_18_ORL@BHM,2026-04-18,2026,4,UFL,ORL,BHM,,,,,,,,,,,,,,,,1.0,,,,,,
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,675.0,2.0,,40.0,27.0,13.0,0.0,10.0,104.0,2.0,6.0,150.0,,262.0,9.0,,7.0,19.0,5.0,0.0,0.0,33.0
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,714.0,0.0,,7.0,5.0,2.0,0.0,16.0,148.0,0.0,3.0,429.0,,79.0,0.0,,6.0,0.0,4.0,1.0,1.0,23.0
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,633.0,1.0,,30.0,19.0,11.0,37.0,11.0,110.0,1.0,5.0,167.0,,213.0,1.0,,-1.0,2.0,4.0,0.0,0.0,-2.0
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,704.0,2.0,,27.0,19.0,8.0,24.0,10.0,100.0,2.0,4.0,148.0,,198.0,12.0,,8.0,11.0,2.0,1.0,1.0,16.0
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,824.0,0.0,,17.0,14.0,3.0,28.0,13.0,151.0,0.0,7.0,412.0,,183.0,0.0,,5.0,6.0,2.0,0.0,0.0,10.0
