game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,18.0,12.0,12.0,55.0,41.0,29.0,1070.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,14.0,11.0,12.0,68.0,58.0,,
