game_id,date,season,week,league,away,home,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_CFL_W1_MTL,,,1,CFL,,,,,,57.0,
SYNTHETIC_CFL_W2_MTL,,,2,CFL,,,,,1.0,20.0,2.0
SYNTHETIC_CFL_W3_MTL,,,3,CFL,,,,,3.0,13.0,8.0
SYNTHETIC_CFL_W4_MTL,,,4,CFL,,,,,0.0,41.0,2.0
SYNTHETIC_CFL_W6_MTL,,,6,CFL,,,,,1.0,32.0,0.0
SYNTHETIC_CFL_W7_MTL,,,7,CFL,,,,,0.0,33.0,2.0
SYNTHETIC_CFL_W8_MTL,,,8,CFL,,,,,0.0,24.0,0.0
SYNTHETIC_CFL_W9_MTL,,,9,CFL,,,,,3.0,35.0,3.0
SYNTHETIC_CFL_W10_MTL,,,10,CFL,,,,,0.0,17.0,5.0
SYNTHETIC_CFL_W11_MTL,,,11,CFL,,,,,0.0,28.0,1.0
SYNTHETIC_CFL_W13_MTL,,,13,CFL,,,,,0.0,38.0,0.0
SYNTHETIC_CFL_W14_MTL,,,14,CFL,,,,,1.0,10.0,5.0
SYNTHETIC_CFL_W16_MTL,,,16,CFL,,,,,0.0,16.0,1.0
SYNTHETIC_CFL_W17_MTL,,,17,CFL,,,,,2.0,18.0,4.0
SYNTHETIC_CFL_W18_MTL,,,18,CFL,,,,,0.0,0.0,0.0
SYNTHETIC_CFL_W19_MTL,,,19,CFL,,,,,0.0,30.0,2.0
SYNTHETIC_CFL_W20_MTL,,,20,CFL,,,,,1.0,24.0,1.0
SYNTHETIC_CFL_2023_W1_MTL,,2023,1,CFL,,,,,2.0,12.0,4.0
SYNTHETIC_CFL_2023_W3_MTL,,2023,3,CFL,,,1.0,,2.0,12.0,2.0
SYNTHETIC_CFL_2023_W4_MTL,,2023,4,CFL,,,,,,17.0,2.0
SYNTHETIC_CFL_2023_W5_MTL,,2023,5,CFL,,,,,,35.0,3.0
SYNTHETIC_CFL_2023_W6_MTL,,2023,6,CFL,,,,,1.0,35.0,0.0
SYNTHETIC_CFL_2023_W8_MTL,,2023,8,CFL,,,,,,18.0,3.0
SYNTHETIC_CFL_2023_W9_MTL,,2023,9,CFL,,,,,,14.0,3.0
SYNTHETIC_CFL_2023_W10_MTL,,2023,10,CFL,,,,,,12.0,2.0
SYNTHETIC_CFL_2023_W11_MTL,,2023,11,CFL,,,,,,24.0,3.0
SYNTHETIC_CFL_2023_W12_MTL,,2023,12,CFL,,,,,,47.0,1.0
SYNTHETIC_CFL_2023_W13_MTL,,2023,13,CFL,,,,,,34.0,0.0
SYNTHETIC_CFL_2023_W14_MTL,,2023,14,CFL,,,,,,39.0,0.0
SYNTHETIC_CFL_2023_W15_MTL,,2023,15,CFL,,,,,,23.0,2.0
SYNTHETIC_CFL_2023_W16_MTL,,2023,16,CFL,,,,,,11.0,4.0
SYNTHETIC_CFL_2023_W17_MTL,,2023,17,CFL,,,,,,15.0,5.0
SYNTHETIC_CFL_2023_W18_MTL,,2023,18,CFL,,,,,,3.0,5.0
SYNTHETIC_CFL_2023_W19_MTL,,2023,19,CFL,,,,,,21.0,4.0
SYNTHETIC_CFL_2023_W21_MTL,,2023,21,CFL,,,,,,20.0,2.0
SYNTHETIC_CFL_2024_W1_MTL,,2024,1,CFL,,,,2.0,2.0,10.0,3.0
SYNTHETIC_CFL_2024_W2_MTL,,2024,2,CFL,,,,,3.0,18.0,2.0
SYNTHETIC_CFL_2024_W3_MTL,,2024,3,CFL,,,,,0.0,28.0,5.0
SYNTHETIC_CFL_2024_W4_MTL,,2024,4,CFL,,,,,0.0,35.0,1.0
SYNTHETIC_CFL_2024_W5_MTL,,2024,5,CFL,,,,,1.0,21.0,2.0
SYNTHETIC_CFL_2024_W6_MTL,,2024,6,CFL,,,,,0.0,37.0,3.0
SYNTHETIC_CFL_2024_W7_MTL,,2024,7,CFL,,,,,1.0,25.0,3.0
SYNTHETIC_CFL_2024_W8_MTL,,2024,8,CFL,,,,,0.0,21.0,0.0
SYNTHETIC_CFL_2024_W9_MTL,,2024,9,CFL,,,,,0.0,34.0,1.0
SYNTHETIC_CFL_2024_W10_MTL,,2024,10,CFL,,,,,0.0,23.0,6.0
SYNTHETIC_CFL_2024_W11_MTL,,2024,11,CFL,,,,,1.0,36.0,1.0
SYNTHETIC_CFL_2024_W12_MTL,,2024,12,CFL,,,,,0.0,26.0,2.0
SYNTHETIC_CFL_2024_W14_MTL,,2024,14,CFL,,,,,1.0,26.0,1.0
SYNTHETIC_CFL_2024_W15_MTL,,2024,15,CFL,,,,,2.0,31.0,1.0
SYNTHETIC_CFL_2024_W16_MTL,,2024,16,CFL,,,1.0,,1.0,19.0,3.0
SYNTHETIC_CFL_2024_W17_MTL,,2024,17,CFL,,,,,1.0,20.0,4.0
SYNTHETIC_CFL_2024_W19_MTL,,2024,19,CFL,,,,,0.0,10.0,4.0
SYNTHETIC_CFL_2024_W20_MTL,,2024,20,CFL,,,,,3.0,28.0,3.0
SYNTHETIC_CFL_2024_W21_MTL,,2024,21,CFL,,,,,1.0,19.0,3.0
SYNTHETIC_CFL_2025_W1_MTL,,2025,1,CFL,,,,,2.0,10.0,3.0
SYNTHETIC_CFL_2025_W2_MTL,,2025,2,CFL,,,,,3.0,39.0,2.0
SYNTHETIC_CFL_2025_W3_MTL,,2025,3,CFL,,,,,1.0,28.0,5.0
SYNTHETIC_CFL_2025_W4_MTL,,2025,4,CFL,,,,,,35.0,1.0
SYNTHETIC_CFL_2025_W5_MTL,,2025,5,CFL,,,,,1.0,21.0,2.0
SYNTHETIC_CFL_2025_W7_MTL,,2025,7,CFL,,,,,1.0,25.0,3.0
SYNTHETIC_CFL_2025_W8_MTL,,2025,8,CFL,,,,,,21.0,
SYNTHETIC_CFL_2025_W9_MTL,,2025,9,CFL,,,,,,34.0,1.0
SYNTHETIC_CFL_2025_W10_MTL,,2025,10,CFL,,,,,,23.0,6.0
SYNTHETIC_CFL_2025_W11_MTL,,2025,11,CFL,,,,,1.0,36.0,1.0
SYNTHETIC_CFL_2025_W12_MTL,,2025,12,CFL,,,,,,26.0,2.0
SYNTHETIC_CFL_2025_W14_MTL,,2025,14,CFL,,,,,1.0,26.0,1.0
SYNTHETIC_CFL_2025_W15_MTL,,2025,15,CFL,,,,,2.0,31.0,1.0
SYNTHETIC_CFL_2025_W16_MTL,,2025,16,CFL,,,,,1.0,19.0,3.0
SYNTHETIC_CFL_2025_W17_MTL,,2025,17,CFL,,,,,1.0,20.0,4.0
SYNTHETIC_CFL_2025_W19_MTL,,2025,19,CFL,,,,,,10.0,4.0
SYNTHETIC_CFL_2025_W20_MTL,,2025,20,CFL,,,,,3.0,28.0,3.0
SYNTHETIC_CFL_2025_W21_MTL,,2025,21,CFL,,,,,1.0,19.0,3.0
