game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,pim,points,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,2.0,,,2.0,,,,2.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,1.0,,,2.0,1.0,,,2.0,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0
