game_id,date,season,week,league,away,home,assist_tackles,def_solo,def_tot,int_avg,int_long,int_tds,int_yards,interceptions_made,solo_tackles
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,2.0,2.0,,,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,5.0,5.0,,,,,,
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,0.0,,,0.0,0.0,0.0,0.0,0.0,3.0
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,1.0,,,0.0,0.0,0.0,0.0,0.0,5.0
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,1.0,,,0.0,0.0,0.0,0.0,0.0,2.0
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,1.0,,,0.0,0.0,0.0,0.0,0.0,3.0
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,0.0,,,0.0,0.0,0.0,0.0,0.0,8.0
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,1.0,,,0.0,0.0,0.0,0.0,0.0,5.0
