game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,27.0,,,17.0,23.0,,2.0,,50.0,11.0,7.0,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,1.0,1.0,1.0,,0.0,1.0,,1.0,,,,1.0,1.0
