game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,,,,25.0,1.0,1.0,,1.0,25.0,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,1.0,1.0,,,,,,2.0,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,,,3.0,4.0,2.0,5.0,54.0,2.0,12.0,2.0
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,,,,,,,1.0,3.0,1.0,,7.0,1.0,6.0,1.0
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,1.0,1.0,,,,28.0,1.0,3.0,,,28.0,,,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,,,,,,9.0,4.0,4.0,,5.0,30.0,,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,,,,8.0,2.0,2.0,,3.0,10.0,,,
6250,2022-08-19,2022,11,CFL,EDM,OTT,,,0.0,10.0,2.0,,,,,,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,,0.0,28.0,1.0,,,,,,,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,1.0,7.0,1.0,,,,,,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,,0.0,30.0,4.0,,,,,,,,,
