game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,3.0,4.0,9.0,5.0,44.0,6.0,59.0,6.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,3.0,,5.0,3.0,25.0,-1.0,47.0,7.0
