game_id,date,season,week,league,away,home,assists,blocks,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,1.0,,9.0,12.0,,,,4.0,,13.0,1.0,54.0,15.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,3.0,,17.0,20.0,1.0,2.0,1.0,7.0,,20.0,,13.0,138.0
2023-05-27-MIN-DET,2023-05-27,2023,5,,MIN,DET,1.0,1.0,33.0,32.0,1.0,,,,,35.0,3.0,141.0,100.0
2023-05-28-MIN-CHI,2023-05-28,2023,5,,MIN,CHI,,,,,,,,1.0,,,,,
2023-06-03-CHI-MIN,2023-06-03,2023,6,,CHI,MIN,4.0,,68.0,76.0,2.0,2.0,,,,76.0,,98.0,188.0
2023-06-10-MAD-MIN,2023-06-10,2023,7,,MAD,MIN,,,44.0,51.0,,1.0,,2.0,,54.0,3.0,117.0,116.0
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,2.0,,40.0,42.0,3.0,3.0,,,,42.0,,244.0,208.0
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,1.0,,21.0,27.0,,3.0,1.0,,,28.0,1.0,55.0,230.0
2023-07-07-MIN-MAD,2023-07-07,2023,11,,MIN,MAD,1.0,2.0,11.0,11.0,1.0,2.0,,,,12.0,1.0,32.0,10.0
2023-07-09-IND-MIN,2023-07-09,2023,11,,IND,MIN,,,,,,,,,1.0,,,,
2023-07-15-CHI-MIN,2023-07-15,2023,12,,CHI,MIN,,1.0,16.0,24.0,,1.0,,1.0,,26.0,2.0,17.0,95.0
