game_id,date,season,week,league,away,home,fg3a,fga,fouls,minutes,off_rebounds,plus_minus,rebounds,steals,turnovers
WNBA_202505160DAL,2025-05-16,2025,1,WNBA,MIN,DAL,1.0,1.0,3.0,5.283333333333333,,-7.0,,,1.0
WNBA_202505180LAS,2025-05-18,2025,1,WNBA,MIN,LAS,,,2.0,3.5,1.0,-1.0,1.0,1.0,1.0
WNBA_202505300PHO,2025-05-30,2025,1,WNBA,MIN,PHO,,2.0,1.0,1.9333333333333333,,1.0,,1.0,
