game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_PHI,,2022,1,USFL,,,0.0,2.0,1.0,,
SYNTHETIC_USFL_2022_W2_PHI,,2022,2,USFL,,,0.0,72.0,6.0,,
SYNTHETIC_USFL_2022_W3_PHI,,2022,3,USFL,,,0.0,61.0,4.0,,
SYNTHETIC_USFL_2022_W4_PHI,,2022,4,USFL,,,0.0,12.0,2.0,,
SYNTHETIC_USFL_2022_W5_PHI,,2022,5,USFL,,,0.0,36.0,4.0,,
SYNTHETIC_USFL_2022_W6_PHI,,2022,6,USFL,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2022_W7_PHI,,2022,7,USFL,,,1.0,72.0,7.0,,
SYNTHETIC_USFL_2022_W8_PHI,,2022,8,USFL,,,1.0,46.0,5.0,,
SYNTHETIC_USFL_2022_W9_PHI,,2022,9,USFL,,,0.0,47.0,3.0,,
SYNTHETIC_USFL_2022_W10_PHI,,2022,10,USFL,,,1.0,31.0,5.0,,
SYNTHETIC_USFL_2022_W11_PHI,,2022,11,USFL,,,0.0,27.0,2.0,,
SYNTHETIC_USFL_2023_W1_STARS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,0.0,9.0,1.0,0.0,0.0
SYNTHETIC_USFL_2023_W5_STARS,2023-05-14,2023,5,USFL,STARS,GENERALS,0.0,32.0,4.0,,
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,0.0,63.0,4.0,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,0.0,26.0,3.0,,
