game_id,date,season,week,league,away,home,assist_tackles,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,goals,goals_minus_xg,goals_plus_assists,int_avg,int_long,int_tds,int_yards,interceptions_made,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,shots,shots_on_target,solo_tackles,targets,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-mls-2014-9z5k7Yg5A3,,2014,1,MLS,,,,0.0,-0.013,11.9894,1.6979,,,,,,2.0,1.2648,2.0,,,,,,1.0,266.0,0.7377,61.0,-1.8733,-3.0711,1.8169,,,,,,,5.0,3.0,,,0.013,0.7352,0.9169,0.7482,0.7684,0.5845
soccer-uslc-2017-XVqK23a501,,2017,1,USLC,,,,5.0,2.9829,14.9291,-1.5241,,,,,,3.0,-1.6321,8.0,,,,,,18.0,999.0,0.7343,271.0,3.7674,1.3902,1.2415,,,,,,,31.0,12.0,,,2.0171,4.6321,-0.7707,6.6492,0.7204,1.8383
soccer-uslc-2018-XVqK23a501,,2018,1,USLC,,,,3.0,0.7388,14.2913,-1.0833,,,,,,17.0,5.638,20.0,,,,,,24.0,2348.0,0.7652,656.0,4.7379,0.7222,8.2019,,,,,,,68.0,35.0,,,2.2612,11.362,1.2468,13.6232,0.758,6.1713
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.0,5.0,,,,,,,6.0,,,,,,
soccer-uslc-2019-XVqK23a501,,2019,1,USLC,,,,4.0,1.9981,15.1402,-2.1883,,,,,,8.0,3.7691,12.0,,,,,,11.0,1065.0,0.8013,302.0,2.3484,0.7776,4.5866,,,,,,,47.0,17.0,,,2.0019,4.2309,0.2825,6.2329,0.7935,2.8482
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.0,3.0,1.0,0.0,4.0,,,,6.0,,,,,,
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,2.0,,,,,,,3.0,,,,,,
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,3.0,,,,,,
FOOTBALL_AAF_2019_3_9_SL@SD,2019-03-09,2019,5,AAF,SL,SD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.0,4.0,1.0,0.0,4.0,,,,8.0,,,,,,
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,1.0,1.0,0.0,0.0,,,,3.0,,,,,,
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,0.0,26.0,2.0,,,,,,,4.0,,,,,,
FOOTBALL_AAF_2019_3_30_SD@SL,2019-03-30,2019,8,AAF,SD,SL,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38.0,3.0,,,,,,1.0,9.0,,,,,,
soccer-uslc-2021-0Oq62Dgq6D,,2021,1,USLC,,,,1.0,0.2362,14.9568,-3.6839,,,,,,2.0,0.763,3.0,,,,,,5.0,687.0,0.7667,150.0,-1.4453,-0.9635,1.1233,,,,,,,14.0,4.0,,,0.7638,1.237,-0.0098,2.0007,0.7763,1.066
soccer-uslc-2021-7VqGZE35vW,,2021,1,USLC,,,,2.0,1.6878,14.7664,-2.5661,,,,,,0.0,-0.4193,2.0,,,,,,4.0,228.0,0.7547,53.0,-0.5028,-0.9487,0.0,,,,,,,4.0,1.0,,,0.3122,0.4193,-0.3209,0.7315,0.7642,0.2961
soccer-uslc-2022-e7MzZbKMr0,,2022,1,USLC,,,,1.0,0.3179,14.6973,-3.8201,,,,,,3.0,-2.8908,4.0,,,,,,8.0,1344.0,0.7787,253.0,-0.9601,-0.3795,1.1652,,,,,,,43.0,11.0,,,0.6821,5.8908,-0.8769,6.5729,0.7825,3.1829
