game_id,date,season,week,league,away,home,assist_tackles,int_avg,int_long,int_tds,int_yards,interceptions_made,kick_returns,kr_long,kr_yards,pr_fc,pr_long,pr_yards,punt_returns,receiving_tds,receiving_yards,receptions,solo_tackles,tackles,targets
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,,,,,,,,,,,,,,0.0,4.0,1.0,,,1.0
FOOTBALL_AAF_2019_2_23_MEM@ORL,2019-02-23,2019,3,AAF,MEM,ORL,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,,
FOOTBALL_AAF_2019_3_2_ORL@SL,2019-03-02,2019,4,AAF,ORL,SL,,,,,,,,,,,,,,1.0,20.0,1.0,,,2.0
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,,,,,,,,,,,,,,0.0,8.0,1.0,,,1.0
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,,,,,,,,,,,,,,0.0,14.0,1.0,,,1.0
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,,,,,,,,,,,,,,0.0,22.0,2.0,,,2.0
FOOTBALL_AAF_2019_3_30_ORL@MEM,2019-03-30,2019,8,AAF,ORL,MEM,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,65.0,1.0,1.0,,2.0
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,,,,,,,,1.0,7.0,7.0,1.0,,,,1.0,1.0,
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,,,,,,,,,5.0,2.0,3.0,,,,,,
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,,,,,,,2.0,20.0,40.0,,12.0,28.0,3.0,,,,,,
