game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,34.0,9.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,13.0,5.0
