game_id,date,season,week,league,away,home,punt_return,receiving_tds,receiving_yards,receptions
99,2026-04-16,2026,4,UFL,LOUISVILLE KINGS,HOUSTON GAMBLERS,,0.0,22.0,1.0
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,0.0,7.0,1.0
107,2026-04-30,2026,6,UFL,ST. LOUIS BATTLEHAWKS,LOUISVILLE KINGS,,0.0,11.0,1.0
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,1.0,,,
