game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,6.0,10.0,,2.0,,6.0,8.0,12.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,3.0,3.0,53.0,1.0,18.0,,97.0,7.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,2.0,,43.0,2.0,1.0,-1.0,59.0,5.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,6.0,1.0,17.0,2.0,23.0,1.0,61.0,8.0
