game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,17.0,102.0,10.0,1444.0,4.0,17.0,1.0,38.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,2.0,9.0,1.0,133.0,1.0,2.0,,21.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,18.0,85.0,6.0,957.0,4.0,18.0,,42.0
