game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,pass_att,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,0.5,7.0,9.0,,25.0,2.0,322.0,3.0,6.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,4.0,1.0,17.0,,132.0,,
