game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,1.0,23.0,5.0,1.0,6.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,1.0,61.0,12.0,,
