game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W2_MTL,,,2,CFL,,,1.0,,0.0,270.0,0.0,20.0,,
SYNTHETIC_CFL_W3_MTL,,,3,CFL,,,0.0,,1.0,262.0,0.0,0.0,,
SYNTHETIC_CFL_W4_MTL,,,4,CFL,,,2.0,,0.0,198.0,0.0,28.0,,
SYNTHETIC_CFL_W6_MTL,,,6,CFL,,,2.0,,2.0,241.0,,,,
SYNTHETIC_CFL_W7_MTL,,,7,CFL,,,0.0,,2.0,341.0,0.0,4.0,,
SYNTHETIC_CFL_W8_MTL,,,8,CFL,,,0.0,,1.0,288.0,0.0,39.0,,
SYNTHETIC_CFL_W9_MTL,,,9,CFL,,,2.0,,1.0,127.0,,,,
SYNTHETIC_CFL_W10_MTL,,,10,CFL,,,0.0,,0.0,213.0,,,,
SYNTHETIC_CFL_W11_MTL,,,11,CFL,,,1.0,,3.0,382.0,0.0,7.0,,
SYNTHETIC_CFL_W13_MTL,,,13,CFL,,,2.0,,2.0,256.0,0.0,26.0,,
SYNTHETIC_CFL_W14_MTL,,,14,CFL,,,1.0,,1.0,163.0,0.0,8.0,,
SYNTHETIC_CFL_W16_MTL,,,16,CFL,,,0.0,,2.0,244.0,0.0,1.0,,
SYNTHETIC_CFL_W17_MTL,,,17,CFL,,,0.0,,1.0,180.0,0.0,7.0,,
SYNTHETIC_CFL_W19_MTL,,,19,CFL,,,0.0,,1.0,241.0,0.0,17.0,,
SYNTHETIC_CFL_W20_MTL,,,20,CFL,,,1.0,,2.0,413.0,0.0,7.0,,
SYNTHETIC_CFL_2023_W1_SSK,,2023,1,CFL,,,0.0,,1.0,73.0,0.0,19.0,,
SYNTHETIC_CFL_2023_W2_SSK,,2023,2,CFL,,,0.0,,3.0,413.0,0.0,23.0,,
SYNTHETIC_CFL_2023_W3_SSK,,2023,3,CFL,,,1.0,,1.0,275.0,0.0,21.0,,
SYNTHETIC_CFL_2023_W5_SSK,,2023,5,CFL,,,1.0,,1.0,289.0,0.0,13.0,,
SYNTHETIC_CFL_2023_W6_SSK,,2023,6,CFL,,,0.0,,0.0,115.0,0.0,18.0,,
SYNTHETIC_CFL_2024_W1_SSK,,2024,1,CFL,,,2.0,0.0,3.0,305.0,,,0.0,1.0
SYNTHETIC_CFL_2024_W2_SSK,,2024,2,CFL,,,0.0,,2.0,390.0,0.0,0.0,,
SYNTHETIC_CFL_2024_W3_SSK,,2024,3,CFL,,,1.0,,2.0,177.0,,,,
SYNTHETIC_CFL_2024_W11_SSK,,2024,11,CFL,,,0.0,,2.0,355.0,,,,
SYNTHETIC_CFL_2024_W12_SSK,,2024,12,CFL,,,2.0,,1.0,190.0,0.0,11.0,,
SYNTHETIC_CFL_2024_W13_SSK,,2024,13,CFL,,,0.0,,3.0,368.0,1.0,27.0,,
SYNTHETIC_CFL_2024_W14_SSK,,2024,14,CFL,,,2.0,,2.0,287.0,,,,
SYNTHETIC_CFL_2024_W16_SSK,,2024,16,CFL,,,0.0,,1.0,248.0,1.0,17.0,,
SYNTHETIC_CFL_2024_W17_SSK,,2024,17,CFL,,,0.0,,0.0,315.0,0.0,10.0,,
SYNTHETIC_CFL_2024_W18_SSK,,2024,18,CFL,,,2.0,,2.0,358.0,0.0,6.0,,
SYNTHETIC_CFL_2024_W19_SSK,,2024,19,CFL,,,0.0,,2.0,271.0,,,,
SYNTHETIC_CFL_2025_W1_SSK,,2025,1,CFL,,,1.0,,2.0,277.0,0.0,4.0,,
SYNTHETIC_CFL_2025_W2_SSK,,2025,2,CFL,,,1.0,,1.0,295.0,,,,
SYNTHETIC_CFL_2025_W3_SSK,,2025,3,CFL,,,1.0,,2.0,234.0,,,,
SYNTHETIC_CFL_2025_W6_SSK,,2025,6,CFL,,,0.0,,1.0,425.0,0.0,0.0,,
SYNTHETIC_CFL_2025_W7_SSK,,2025,7,CFL,,,1.0,,3.0,395.0,,,,
SYNTHETIC_CFL_2025_W8_SSK,,2025,8,CFL,,,0.0,,2.0,268.0,0.0,3.0,,
SYNTHETIC_CFL_2025_W9_SSK,,2025,9,CFL,,,0.0,,2.0,289.0,,,,
SYNTHETIC_CFL_2025_W11_SSK,,2025,11,CFL,,,1.0,,3.0,307.0,0.0,9.0,,
SYNTHETIC_CFL_2025_W12_SSK,,2025,12,CFL,,,2.0,,2.0,205.0,0.0,5.0,,
SYNTHETIC_CFL_2025_W13_SSK,,2025,13,CFL,,,0.0,,1.0,219.0,,,,
SYNTHETIC_CFL_2025_W14_SSK,,2025,14,CFL,,,1.0,,0.0,239.0,0.0,10.0,,
SYNTHETIC_CFL_2025_W15_SSK,,2025,15,CFL,,,1.0,,1.0,252.0,,,,
SYNTHETIC_CFL_2025_W17_SSK,,2025,17,CFL,,,2.0,,1.0,351.0,0.0,9.0,,
SYNTHETIC_CFL_2025_W18_SSK,,2025,18,CFL,,,0.0,,1.0,341.0,,,,
SYNTHETIC_CFL_2025_W19_SSK,,2025,19,CFL,,,0.0,,2.0,340.0,,,,
SYNTHETIC_CFL_2025_W21_SSK,,2025,21,CFL,,,0.0,,0.0,112.0,0.0,13.0,,
