game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,4.0,7.0,,50.0,10.0,2.0,38.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,6.0,8.0,3.5,88.0,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,3.0,3.0,,70.0,11.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,1.0,3.0,,27.0,7.0,,
