game_id,date,season,week,league,away,home,fumble_recoveries,receiving_yards,receptions
5pr1v6tabjsekhe4,2026-05-02,2026,1,50 Yard,San Antonio Gunslingers,Tucson Sugar Skulls,0.0,,
SYNTHETIC_50YARD_2026_W2_TUCSONSUGARSKULLS,2026-05-10,2026,2,50YARD,Tucson Sugar Skulls,Arizona Rattlers,,7.0,1.0
SYNTHETIC_50YARD_2026_W3_TUCSONSUGARSKULLS,2026-05-15,2026,3,50YARD,TUCSON SUGAR SKULLS,QUAD CITY STEAMWHEELERS,,31.0,3.0
