game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,sacks,tackles
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,5.0,5.0,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,6.0,6.0,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,3.0,3.0,,,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,2.0,2.0,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,4.0,4.0,,,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,2.0,2.0,,,
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,3.0,3.0,,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,2.0,2.0,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,2.0,2.0,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,2.0,2.0,,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,0.0,0.0,2.0
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,1.0,0.0,2.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,0.0,0.0,1.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,0.0,0.0,2.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,0.0,0.0,1.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,0.0,0.0,1.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,0.0,0.0,7.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,0.0,0.0,3.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,0.0,0.0,3.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,0.0,0.0,2.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,0.0,0.0,3.0
