game_id,date,season,week,league,away,home,1pt_conversion,conversions
SYNTHETIC_UFL_2024_W6_SHOWBOATS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,3.0
SYNTHETIC_UFL_2024_W8_SHOWBOATS,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,1.0,1.0
SYNTHETIC_UFL_2024_W10_SHOWBOATS,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,1.0
SYNTHETIC_UFL_2024_W11_SHOWBOATS,,2024,11,UFL,,,1.0,
SYNTHETIC_UFL_2024_W12_SHOWBOATS,,2024,12,UFL,,,,1.0
