game_id,date,season,week,league,away,home,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,23.0,1.0,5.0,-1.0,8.0,2.0
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,10.0,2.0,7.0,2.0,14.0,
