game_id,date,season,week,league,away,home,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,4.0,1.5,23.0,10.0,3.0,63.0,6.0,47.0,,,,,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,2.0,,21.0,10.0,14.0,306.0,,,2.0,53.0,9.0,1.0,267.0,2.0,3.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,,9.0,10.0,,,,,,,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,,4.0,3.0,2.0,39.0,,,,,5.0,,41.0,,
