game_id,date,season,week,league,away,home,extra_point,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,games_played,made_19,made_29,made_39,made_49,made_50,missed,xp_att_game
SYNTHETIC_USFL_W1_NJ,,,1,USFL,,,3.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,2.0,
SYNTHETIC_USFL_W2_NJ,,,2,USFL,,,1.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,
SYNTHETIC_USFL_W3_NJ,,,3,USFL,,,3.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,
SYNTHETIC_USFL_W4_NJ,,,4,USFL,,,3.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,,0.0,3.0,0.0,0.0,0.0,3.0,,,,,,,,0.0
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,,,,,,,,11.0,,,,,,,
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,,0.0,0.0,2.0,0.0,1.0,3.0,,,,,,,,0.0
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.0
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,0.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,0.0
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.0
FOOTBALL_AAF_2019_3_23_SL@SA,2019-03-23,2019,7,AAF,SL,SA,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,0.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,0.0,0.0,1.0,0.0,1.0,2.0,,,,,,,,0.0
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,,,,,,,18.0,,,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,,,,,,,,18.0,,,,,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,,,,,,,,18.0,,,,,,,
