game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,12.0,56.0,8.0,805.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,2.0,10.0,2.0,113.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,6.0,,,
