game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,9.0,1.0,13.0,26.0,5.0,446.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,,,37.0,4.0,406.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,11.0,,,30.0,7.0,418.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,,,24.0,2.0,258.0
