game_id,date,season,week,league,away,home,rush_att,rush_lg,rush_yds
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,1.0,3.0,3.0
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,1.0,8.0,8.0
