game_id,date,season,week,league,away,home,kick_returns,kr_long,kr_yards
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,4.0,30.0,96.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,1.0,15.0,28.0
