game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,2.0,2.0,,,,,,
FOOTBALL_CFL_2021_9_11_OTT@BC,2021-09-11,2021,1,CFL,OTT,BC,1.0,1.0,,,,,,
FOOTBALL_CFL_2021_9_22_HAM@OTT,2021-09-22,2021,1,CFL,HAM,OTT,3.0,3.0,,,,,,
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,3.0,3.0,,,,,,
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,,,,0.0,5.0,1.0,,
SYNTHETIC_USFL_2022_W10_NJ,,2022,10,USFL,,,,,,0.0,0.0,0.0,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,0.0,,,,0.0,5.0
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,0.0,,,,0.0,4.0
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,0.0,,,,0.0,3.0
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,1.0,,,,0.0,1.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,1.0,,,,0.0,4.0
