game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,7.0,1.0,7.0,27.0,1.0,41.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,11.0,1.0,,33.0,,66.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,,,50.0,,270.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,2.0,5.0,55.0,3.0,289.0
