game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,5.0,10.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,3.0,42.0
