game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,,25.0,6.0,6.0,,14.0,83.0,,,,1.0,6.0,,6.0,,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,,,,,,,12.0,7.0,56.0,,,,,,,,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,,,18.0,6.0,8.0,,38.0,60.0,,,,1.0,,1.0,5.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,1.0,1.0,,,7.0,9.0,1.0,35.0,88.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,,34.0,8.0,9.0,,47.0,95.0,3.0,1.0,3.0,,,,,,,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,10.0,6.0,8.0,,17.0,40.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,17.0,3.0,6.0,,6.0,40.0,3.0,1.0,3.0,,,,,,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,22.0,3.0,6.0,,5.0,44.0,19.0,3.0,31.0,,,,,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,8.0,2.0,3.0,,6.0,12.0,13.0,4.0,29.0,,,,,,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,27.0,5.0,5.0,,12.0,51.0,11.0,2.0,12.0,,,,,,,,,
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,28.0,6.0,6.0,,37.0,78.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,44.0,10.0,10.0,1.0,44.0,131.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,19.0,3.0,7.0,,20.0,40.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,34.0,5.0,9.0,,15.0,81.0,,1.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,1.0,22.0,5.0,6.0,,27.0,74.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,15.0,2.0,3.0,,16.0,24.0,15.0,3.0,42.0,,,,,,,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,9.0,2.0,3.0,,3.0,16.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,,,,18.0,6.0,7.0,1.0,23.0,48.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,19.0,2.0,4.0,,1.0,22.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,,,,34.0,5.0,5.0,1.0,12.0,56.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,,14.0,6.0,6.0,,13.0,54.0,11.0,2.0,11.0,,,,,,,,,
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,,,,22.0,3.0,3.0,1.0,2.0,46.0,8.0,2.0,12.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,19.0,6.0,8.0,,30.0,66.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,41.0,5.0,7.0,,9.0,61.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,1.0,1.0,,69.0,6.0,9.0,,49.0,106.0,,,,1.0,6.0,,6.0,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,16.0,5.0,8.0,1.0,23.0,36.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,1.0,1.0,,26.0,2.0,4.0,,8.0,36.0,10.0,2.0,18.0,,,,,,,,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,,27.0,6.0,10.0,,14.0,77.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,16.0,5.0,7.0,,4.0,55.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_23_CGY@TOR,2018-06-23,2018,1,CFL,CGY,TOR,,,,7.0,2.0,3.0,,1.0,13.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,,,,37.0,2.0,3.0,,5.0,46.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,14.0,3.0,6.0,,10.0,29.0,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,1.0,1.0,,31.0,3.0,5.0,,10.0,51.0,,,,1.0,19.0,,19.0,,,,,
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,1.0,1.0,,30.0,3.0,4.0,,14.0,49.0,,,,,,,,1.0,,2.0,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,,20.0,2.0,3.0,,,37.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,64.0,4.0,6.0,1.0,63.0,114.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,1.0,1.0,,,3.0,6.0,1.0,2.0,30.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,1.0,1.0,,14.0,7.0,11.0,,14.0,63.0,12.0,1.0,12.0,1.0,4.0,,4.0,,,,,
FOOTBALL_CFL_2018_9_28_TOR@CGY,2018-09-28,2018,1,CFL,TOR,CGY,1.0,1.0,,12.0,4.0,5.0,,11.0,36.0,2.0,1.0,2.0,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,,14.0,2.0,2.0,,4.0,23.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,31.0,9.0,11.0,1.0,25.0,112.0,,,,,,,,,1.0,6.0,,1.0
