game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,21.0,,,11.0,17.0,,,,38.0,,,,
NLL_2021_SEASON_TOTAL,,,1,,,,35.0,,,16.0,30.0,,2.0,,65.0,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,43.0,,,18.0,40.0,,4.0,,83.0,8.0,8.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,36.0,,,18.0,38.0,,4.0,,74.0,7.0,14.0,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,1.0,1.0,1.0,,3.0,1.0,,1.0,,,,1.0,1.0
