game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,2.0,2.0,,,,30.0,7.0,8.0,,80.0,85.0,18.0,14.0,2.0,112.0,,,,,12.0,2.0,2.0
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,,,32.0,7.0,9.0,,80.0,89.0,13.0,12.0,,72.0,,,,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,22.0,8.0,9.0,,31.0,52.0,14.0,17.0,,52.0,,,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,13.0,2.0,6.0,,15.0,18.0,9.0,6.0,1.0,13.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,,,22.0,7.0,10.0,,84.0,91.0,18.0,26.0,1.0,136.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,,2.0,1.0,1.0,,2.0,2.0,3.0,11.0,,9.0,,,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,,,17.0,4.0,4.0,,27.0,33.0,7.0,13.0,,20.0,,,,,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,,,,1.0,1.0,,,,1.0,3.0,,3.0,,,,,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,,,20.0,6.0,7.0,,35.0,39.0,7.0,14.0,,36.0,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,,,2.0,,,,11.0,8.0,,35.0,,,,,,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,,,,,,,,,3.0,30.0,,34.0,,,,,,,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,,,,,,,,,1.0,-1.0,,-1.0,,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,,,,,,11.0,2.0,2.0,,18.0,18.0,4.0,20.0,,27.0,,,,,,,
FOOTBALL_CFL_2017_9_16_EDM@TOR,2017-09-16,2017,1,CFL,EDM,TOR,1.0,1.0,,,,16.0,7.0,7.0,,57.0,67.0,11.0,,1.0,190.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,,,,45.0,6.0,6.0,,70.0,77.0,10.0,,1.0,141.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_30_TOR@HAM,2017-09-30,2017,1,CFL,TOR,HAM,1.0,1.0,,,,18.0,3.0,5.0,,14.0,32.0,13.0,12.0,,49.0,,,2.0,,4.0,,
FOOTBALL_CFL_2017_9_4_TOR@HAM,2017-09-04,2017,1,CFL,TOR,HAM,,,,,,,,,,,,2.0,8.0,,9.0,,,,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,1.0,1.0,,,,46.0,4.0,4.0,,38.0,68.0,5.0,5.0,,16.0,,,,,,,
FOOTBALL_CFL_2018_6_23_CGY@TOR,2018-06-23,2018,1,CFL,CGY,TOR,,,,,,11.0,4.0,6.0,,21.0,30.0,10.0,15.0,,60.0,,,,,,,
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,,,,,,23.0,6.0,7.0,,53.0,62.0,12.0,5.0,1.0,26.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,,,27.0,6.0,6.0,,18.0,42.0,3.0,3.0,,-2.0,,,,,,,
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,,,,,,19.0,4.0,6.0,,44.0,51.0,15.0,15.0,1.0,81.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,,,,17.0,3.0,3.0,,23.0,27.0,21.0,18.0,1.0,120.0,,,,,6.0,1.0,1.0
