game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,5.0,1.0,1.0,7.0,,,,7.0,,,3.0,6.0,,12.0,,,,,
FOOTBALL_CFL_2022_10_22_TOR@MTL,2022-10-22,2022,1,CFL,TOR,MTL,,,,,,,,,,,,,,2.0,,1.0,2.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_10_29_MTL@TOR,2022-10-29,2022,1,CFL,MTL,TOR,,,,35.0,23.0,1.0,46.0,,,2.0,264.0,,,6.0,13.0,1.0,35.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,,1.0,,,,,,,,,,3.0,2.0,1.0,4.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_11_13_MTL@TOR,2022-11-13,2022,1,CFL,MTL,TOR,,,,1.0,1.0,,,,,1.0,46.0,,,5.0,3.0,,9.0,,,,,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,,,,6.0,4.0,,15.0,,,,43.0,,,2.0,20.0,,21.0,,,,,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,,,4.0,2.0,1.0,24.0,11.0,1.0,,26.0,,,,,,,,,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_8_20_CGY@TOR,2022-08-20,2022,1,CFL,CGY,TOR,,,,,,,,3.0,1.0,,,,,4.0,21.0,1.0,28.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,1.0,1.0,,,,,,,,,,,,3.0,42.0,1.0,50.0,,,6.0,1.0,1.0
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,,,,,,,,,,,,,,,,1.0,3.0,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,,,,,,,,,,,,,,,,,1.0,28.0,,,
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,,,,,,,,,,,,,,,,0.0,3.0,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,,,,,,,,,,,,,,,,1.0,50.0,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,1.0,,,,,,,,,0.0,7.0,,,,,0.0,12.0,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,0.0,,,,,,,,,0.0,0.0,,,,,1.0,4.0,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,,,,,,,,,,,,,,,1.0,2.0,,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,,,,,,,,,,238.0,,,,,3.0,28.0,,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,2.0,,,,,,,,,1.0,264.0,,,,,0.0,24.0,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,0.0,,,,,,,,,1.0,249.0,,,,,0.0,25.0,,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,1.0,,,,,,,,,3.0,351.0,,,,,1.0,13.0,,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,0.0,,,,,,,,,2.0,306.0,,,,,1.0,18.0,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,1.0,,,,,,,,,1.0,122.0,,,,,0.0,4.0,,,
9889315,2023-08-04,2023,9,CFL,TOR,CGY,,,0.0,,,,,,,,,1.0,94.0,,,,,,,,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,1.0,,,,,,,,,4.0,417.0,,,,,0.0,17.0,,,
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,2.0,,,,,,,,,3.0,361.0,,,,,1.0,9.0,,,
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,2.0,,,,,,,,,2.0,201.0,,,,,1.0,27.0,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,0.0,,,,,,,,,0.0,278.0,,,,,1.0,6.0,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,0.0,,,,,,,,,1.0,275.0,,,,,0.0,8.0,,,
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,2.0,,,,,,,,,2.0,242.0,,,,,0.0,10.0,,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,0.0,,,,,,,,,0.0,165.0,,,,,0.0,14.0,,,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,0.0,,,,,,,,,1.0,287.0,,,,,0.0,45.0,,,
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,1.0,,,,,,,,,1.0,275.0,,,,,,,,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,1.0,,,,,,,,,0.0,322.0,,,,,0.0,11.0,,,
10798066,2024-09-02,2024,13,CFL,TOR,HAM,,,1.0,,,,,,,,,1.0,322.0,,,,,1.0,39.0,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,4.0,,,,,,,,,3.0,463.0,,,,,0.0,6.0,,,
10798072,2024-09-13,2024,15,CFL,TOR,BC,,,0.0,,,,,,,,,1.0,268.0,,,,,1.0,56.0,,,
10798075,2024-09-20,2024,16,CFL,HAM,TOR,,,1.0,,,,,,,,,1.0,255.0,,,,,2.0,19.0,,,
10798082,2024-09-28,2024,17,CFL,MTL,TOR,,,1.0,,,,,,,,,0.0,287.0,,,,,0.0,25.0,,,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,,,0.0,,,,,,,,,1.0,203.0,,,,,0.0,33.0,,,
10798091,2024-10-19,2024,20,CFL,OTT,TOR,,,0.0,,,,,,,,,3.0,331.0,,,,,1.0,25.0,,,
