game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,0.5,10.0,12.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,4.0,12.0,1.0,12.0
