game_id,date,season,week,league,away,home,assist_tackles,int_long,int_yards,interceptions_made,solo_tackles,tackles
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,,32.0,32.0,1.0,1.0,1.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,2.0,,,,1.0,3.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,3.0,,,,6.0,9.0
