game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,16.0,95.0,7.0,1236.0,36.0,16.0,1.0,218.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,3.0,18.0,,231.0,5.0,3.0,,13.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,8.0,43.0,,433.0,12.0,8.0,,67.0
