game_id,date,season,week,league,away,home,assists,catches,completions,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-04-29-IND-ATL,2023-04-29,2023,1,,IND,ATL,,20.0,13.0,6.0,,14.0,1.0,287.0,22.0
2023-05-06-MIN-IND,2023-05-06,2023,2,,MIN,IND,3.0,38.0,33.0,3.0,3.0,35.0,2.0,274.0,197.0
2023-05-20-MAD-IND,2023-05-20,2023,4,,MAD,IND,,24.0,22.0,2.0,1.0,22.0,,243.0,61.0
2023-06-03-IND-DET,2023-06-03,2023,6,,IND,DET,1.0,22.0,16.0,4.0,1.0,18.0,2.0,179.0,24.0
2023-06-10-CHI-IND,2023-06-10,2023,7,,CHI,IND,3.0,29.0,26.0,2.0,3.0,27.0,1.0,206.0,146.0
2023-06-17-DET-IND,2023-06-17,2023,8,,DET,IND,1.0,33.0,29.0,2.0,2.0,31.0,1.0,366.0,133.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,3.0,20.0,17.0,3.0,1.0,17.0,,264.0,28.0
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,2.0,26.0,21.0,4.0,1.0,22.0,1.0,306.0,68.0
2023-07-15-PIT-IND,2023-07-15,2023,12,,PIT,IND,,25.0,22.0,2.0,1.0,24.0,2.0,248.0,130.0
2023-07-22-IND-PIT,2023-07-22,2023,13,,IND,PIT,2.0,38.0,34.0,2.0,3.0,36.0,1.0,263.0,125.0
